.	PUNCT	.
β	FM	β
γ	FM	γ
θἰνδικτίονος	FM	θἰνδικτίονος
ϣ	V	ϣ
ϣ	V	ⲱϣ
ϣϣⲏⲛ	N	ϣϣⲏⲛ
ϣϣⲏⲟⲩ	N	ϣϣⲏⲟⲩ
ϣϣⲟⲧ	N	ϣϣⲟⲧ
ϣϣⲱⲟⲩ	N	ϣϣⲱⲟⲩ
ϣϣⲱⲧ	N	ϣϣⲟⲧ
ϣϥⲱ	N	ϣϥⲱ
ϣϧⲁⲧ	N	ϣϧⲉⲗⲧ
ϣϧⲉⲗⲧ	N	ϣϧⲉⲗⲧ
ϣϩⲓϫ	N	ϣϩⲓϫ
ϣϫⲁⲡ	N	ϣϫⲁⲡ
ϣϫⲉ	N	ϣϫⲉ
ϣϫⲉⲙϫⲟⲙ	V	ϣϫⲉⲙϫⲟⲙ
ϣϫⲏⲓ	N	ϣϫⲏⲓ
ϣϫⲏⲟⲩ	N	ϣϫⲉ
ϣϫⲟⲙ	N	ϣϫⲟⲙ
ϣϫⲟⲙ	V	ϣϫⲟⲙ
ϣϫⲱⲧ	N	ϣϫⲱⲧ
ϣϭⲏⲛ	N	ϣϭⲏⲛ
ϣϭⲏⲣ	V	ϣϭⲏⲣ
ϣϭⲛⲏⲛ	N	ϣϭⲛⲏⲛ
ϣϭⲛⲏⲛ	V	ϣϭⲛⲏⲛ
ϣϭⲟⲣ	N	ϣϭⲟⲣ
ϣϭⲟⲩⲣ	N	ϣϭⲟⲩⲣ
ϣⲁ	AAOR	ϣⲁⲣⲉ
ϣⲁ	PREP	ϣⲁ
ϣⲁ	V	ϣⲁ
ϣⲁ	V	ϣⲁⲣⲉ
ϣⲁϣ	N	ϣⲁϣ
ϣⲁϣ	V	ϣⲁϣ
ϣⲁϣ	V	ϣⲱϣ
ϣⲁϣ	VSTAT	ϣⲱϣ
ϣⲁϣϥ	N	ϣⲁϣ
ϣⲁϣϥⲧ	N	ϣⲁϣ
ϣⲁϣⲓ	VSTAT	ϣⲁϣⲓ
ϣⲁϣⲛⲓ	V	ϣⲁϣⲛⲓ
ϣⲁϣⲧ	N	ϣⲁϣ
ϣⲁϣⲧ	V	ⲥⲱϣⲧ
ϣⲁϣⲧ	VSTAT	ⲥⲱϣⲧ
ϣⲁϥⲉ	N	ϣⲁϥⲉ
ϣⲁϥⲓ	V	ϣⲁϥⲓ
ϣⲁϥⲓⲱⲟⲩ	VSTAT	ϣⲁϥⲓ
ϣⲁϥⲟⲩⲣⲓ	N	ϣⲁϥⲟⲩⲣⲓ
ϣⲁϩ	N	ϣⲁϩ
ϣⲁϩϣⲉϩ	V	ϣⲁϩϣⲉϩ
ϣⲁϩϣⲱϩ	VSTAT	ϣⲁϩϣⲉϩ
ϣⲁϩⲗ	N	ϣⲁϩⲗ
ϣⲁⲑⲟⲩⲗ	N	ϣⲁⲑⲱⲗ
ϣⲁⲑⲱⲗ	N	ϣⲁⲑⲱⲗ
ϣⲁⲓ	N	ϣⲁⲓ
ϣⲁⲓ	V	ϣⲁⲓ
ϣⲁⲓⲣⲓ	N	ϣⲁⲓⲣⲓ
ϣⲁⲓⲣⲓ	V	ϣⲁⲣⲓ
ϣⲁⲓⲱⲟⲩ	VSTAT	ϣⲁⲓ
ϣⲁⲗ	N	ϣⲁⲗ
ϣⲁⲗ	N	ϣⲟⲗ
ϣⲁⲗⲁⲩⲕⲓ	N	ϣⲁⲗⲟⲩⲕⲓ
ϣⲁⲗⲉ	N	ϭⲁⲗⲉ
ϣⲁⲗⲟⲩⲕⲓ	N	ϣⲁⲗⲟⲩⲕⲓ
ϣⲁⲗⲟⲩⲕⲥ	N	ϭⲁⲗⲟⲩⲕⲥ
ϣⲁⲗⲧⲁⲙ	N	ϣⲁⲗⲧⲁⲙ
ϣⲁⲙ	V	ϣⲙⲁ
ϣⲁⲙϣⲉ	V	ϣⲉⲙϣⲓ
ϣⲁⲛ	CONJ	ϣⲁⲛ
ϣⲁⲛϣ	V	ϣⲁⲛϣ
ϣⲁⲛⲉϣ	V	ϣⲁⲛϣ
ϣⲁⲛⲉⲩϣ	VSTAT	ϣⲁⲛϣ
ϣⲁⲛⲉⲩϣⲧ	VSTAT	ϣⲁⲛϣ
ϣⲁⲛⲟⲩϣ	V	ϣⲁⲛϣ
ϣⲁⲛⲧ	ALIM	ϣⲁⲧⲉ
ϣⲁⲛⲧⲉ	ALIM	ϣⲁⲧⲉ
ϣⲁⲧⲉ	ALIM	ϣⲁⲧⲉ
ϣⲁⲛⲧ	N	ϣⲁⲓ
ϣⲁⲡ	VSTAT	ϣⲱⲡ
ϣⲁⲣ	N	ϣⲁⲣ
ϣⲁⲣⲃⲁ	N	ϣⲁⲣⲃⲁ
ϣⲁⲣⲉ	AAOR	ϣⲁⲣⲉ
ϣⲁⲣⲉ	V	ϣⲁⲣⲉ
ϣⲁⲣⲓ	N	ϣⲁⲣⲓ
ϣⲁⲣⲓ	V	ϣⲁⲣⲓ
ϣⲁⲣⲕⲉ	N	ϣⲁⲣⲕⲉ
ϣⲁⲣⲟ	PREP	ϣⲁ
ϣⲁⲣⲟ	N	ϣⲁⲣⲟ
ϣⲁⲣⲟⲩ	N	ϣⲁⲣⲟ
ϣⲁⲧ	V	ϣⲁⲧⲉ
ϣⲁⲧ	V	ϣⲓϯ
ϣⲁⲧ	V	ϣⲱⲧ
ϣⲁⲧ	VSTAT	ϣⲓϯ
ϣⲁⲧ	VSTAT	ϣⲱⲧ
ϣⲁⲧⲉ	V	ϣⲁⲧⲉ
ϣⲁⲩ	N	ϣⲁⲩ
ϣⲃⲉ	N	ϣⲃⲉ
ϣⲃⲓⲛ	N	ϣⲃⲓⲛ
ϣⲃⲟϯ	N	ϣⲃⲱⲧ
ϣⲃⲱ	N	ϣϥⲱ
ϣⲃⲱⲃⲓ	N	ϣⲃⲱⲃⲓ
ϣⲃⲱⲧ	N	ϣⲃⲱⲧ
ϣⲉ	N	ϣⲉ
ϣⲉ	PREP	ϣⲉ
ϣⲉ	V	ϣⲉ
ϣⲉϣ	V	ϣⲱϣ
ϣⲉϣⲧ	V	ⲥⲱϣⲧ
ϣⲉⲃ	V	ϣⲱⲡ
ϣⲉⲃϣⲉⲃ	V	ϣⲟⲃϣⲉⲃ
ϣⲉⲃϣⲓ	N	ϣⲉⲃϣⲓ
ϣⲉⲃϣⲱⲃ	VSTAT	ϣⲟⲃϣⲉⲃ
