·ⲉⲩⲧⲙⲁⲓⲟ	CPLXVCONV	·ⲉⲩⲧⲙⲁⲓⲟ
·ⲻ	PUNCT	·ⲻ
·	PUNCT	·
·	PUNCT	·
·	UNKNOWN	·
̇ⲙⲛⲛⲟⲣⲪⲁⲛⲟⲥ	CPLXP	̇ⲙⲛⲛⲟⲣⲪⲁⲛⲟⲥ
̣ⲙⲛⲧⲣⲉⲙⲡ	UNKNOWN	̣ⲙⲛⲧⲣⲉⲙⲡ
·	PUNCT	·
Φαμενωθ	FM	Φαμενωθ
β	FM	β
γ	FM	γ
θἰνδικτίονος	FM	θἰνδικτίονος
ο	FM	ο
υἱός	FM	υἱός
ϣϣⲉ	N	ϣϣⲉ
ϣϣⲉ	V	ϣϣⲉ
ϣϥⲉ	N	ϣϥⲉ
ϣϥⲉ	NUM	ϣϥⲉ
ϣϥ	V	ϣϥ
ϣϫⲁϩⲙ	V	ϣϫⲁϩⲙ
ϣϫⲉ	N	ϣϫⲉ
ϣϫⲏⲩ	N	ϣϫⲉ
ϣϫⲥⲟϭ	N	ϣϫⲥⲟϭ
ϣϭⲁ	V	ϣⲱⲱϭⲉ
ϣϭⲙϭⲟⲙ	N	ϣϭⲙϭⲟⲙ
ϣϭⲙϭⲟⲙ	V	ϣϭⲙϭⲟⲙ
ϣϭⲟⲙ	N	ϣϭⲟⲙ
ϣϭⲟⲙ	V	ϣϭⲟⲙ
ϣⲁϣ	N	ϣⲁϣ
ϣⲁϥϣⲁϫⲉ	CPLXAUXP	ϣⲁϥϣⲁϫⲉ
ϣⲁϥϣⲟⲣⲡϥ	CPLXAUXP	ϣⲁϥϣⲟⲣⲡϥ
ϣⲁϥϣⲧⲣⲧⲱⲣⲟⲩ	CPLXAUXP	ϣⲁϥϣⲧⲣⲧⲱⲣⲟⲩ
ϣⲁϥϫⲁϩⲙ	CPLXAUXP	ϣⲁϥϫⲁϩⲙ
ϣⲁϥϫⲓⲉⲟⲟⲩ	CPLXAUXP	ϣⲁϥϫⲓⲉⲟⲟⲩ
ϣⲁϥϫⲓⲕⲃⲁ	CPLXAUXP	ϣⲁϥϫⲓⲕⲃⲁ
ϣⲁϥϫⲓⲥⲉ	CPLXAUXP	ϣⲁϥϫⲓⲥⲉ
ϣⲁϥϫⲓ	CPLXAUXP	ϣⲁϥϫⲓ
ϣⲁϥϫⲟϥ	CPLXAUXP	ϣⲁϥϫⲟϥ
ϣⲁϥϯⲟⲥⲉ	CPLXAUXP	ϣⲁϥϯⲟⲥⲉ
ϣⲁϥϯⲟⲩⲱ	CPLXAUXP	ϣⲁϥϯⲟⲩⲱ
ϣⲁϥϯⲧⲉϥⲭⲣⲉⲓⲁ	CPLXAUXP	ϣⲁϥϯⲧⲉϥⲭⲣⲉⲓⲁ
ϣⲁϥⲁⲁϥ	CPLXAUXP	ϣⲁϥⲁⲁϥ
ϣⲁϥⲁⲛⲁⲕⲣⲓⲛⲉ	CPLXAUXP	ϣⲁϥⲁⲛⲁⲕⲣⲓⲛⲉ
ϣⲁϥⲃⲗϩⲱⲃ	CPLXAUXP	ϣⲁϥⲃⲗϩⲱⲃ
ϣⲁϥⲃⲟⲗⲟⲩ	CPLXAUXP	ϣⲁϥⲃⲟⲗⲟⲩ
ϣⲁϥⲃⲱⲕ	CPLXAUXP	ϣⲁϥⲃⲱⲕ
ϣⲁϥⲃⲱⲗ	CPLXAUXP	ϣⲁϥⲃⲱⲗ
ϣⲁϥⲇⲓⲁⲕⲟⲛⲉⲓ	CPLXAUXP	ϣⲁϥⲇⲓⲁⲕⲟⲛⲉⲓ
ϣⲁϥⲉⲅⲕⲣⲁⲧⲉⲩⲉ	CPLXAUXP	ϣⲁϥⲉⲅⲕⲣⲁⲧⲉⲩⲉ
ϣⲁϥⲉⲓ	CPLXAUXP	ϣⲁϥⲉⲓ
ϣⲁϥⲉ	V	ϣⲁϥⲉ
ϣⲁϥⲑⲉⲣⲁⲡⲉⲩⲉ	CPLXAUXP	ϣⲁϥⲑⲉⲣⲁⲡⲉⲩⲉ
ϣⲁϥⲕⲁⲁϥ	CPLXAUXP	ϣⲁϥⲕⲁⲁϥ
ϣⲁϥⲕⲁⲑⲁⲣⲓⲍⲉ	CPLXAUXP	ϣⲁϥⲕⲁⲑⲁⲣⲓⲍⲉ
ϣⲁϥⲕⲱ	CPLXAUXP	ϣⲁϥⲕⲱ
ϣⲁϥⲙⲁⲥⲧⲓⲅⲟⲩ	CPLXAUXP	ϣⲁϥⲙⲁⲥⲧⲓⲅⲟⲩ
ϣⲁϥⲙⲟⲟϣⲉ	CPLXAUXP	ϣⲁϥⲙⲟⲟϣⲉ
ϣⲁϥⲙⲟⲟⲛⲉ	CPLXAUXP	ϣⲁϥⲙⲟⲟⲛⲉ
ϣⲁϥⲛⲡⲟϩⲥ	CPLXP	ϣⲁϥⲛⲡⲟϩⲥ
ϣⲁϥⲟϫⲛϥ	CPLXAUXP	ϣⲁϥⲟϫⲛϥ
ϣⲁϥⲡⲁⲓⲇⲉⲩⲉ	CPLXAUXP	ϣⲁϥⲡⲁⲓⲇⲉⲩⲉ
ϣⲁϥⲣϣⲙⲛⲧϣⲉⲥⲉⲧⲏ	CPLXAUXP	ϣⲁϥⲣϣⲙⲛⲧϣⲉⲥⲉⲧⲏ
ϣⲁϥⲣⲁϩⲧϥ	CPLXAUXP	ϣⲁϥⲣⲁϩⲧϥ
ϣⲁϥⲣⲟⲕϩϥ	CPLXAUXP	ϣⲁϥⲣⲟⲕϩϥ
ϣⲁϥⲣ	CPLXAUXP	ϣⲁϥⲣ
ϣⲁϥⲥⲗⲡⲛϩⲁⲗⲩⲥⲓⲥ	CPLXAUXP	ϣⲁϥⲥⲗⲡⲛϩⲁⲗⲩⲥⲓⲥ
ϣⲁϥⲥⲱⲟⲩϩ	CPLXAUXP	ϣⲁϥⲥⲱⲟⲩϩ
ϣⲁϥⲧⲁⲕⲟⲥ	CPLXAUXP	ϣⲁϥⲧⲁⲕⲟⲥ
ϣⲁϥⲧⲉ	N	ϣⲁϥⲧⲉ
ϣⲁϥⲧⲱϭⲉ	CPLXAUXP	ϣⲁϥⲧⲱϭⲉ
ϣⲁϥ	CPLXAUXP	ϣⲁϥ
ϣⲁϩⲉ	V	ϣⲁϩⲉ
ϣⲁϩⲉ	V	ϩⲉ
ϣⲁϩⲛⲕⲱϩⲧ	N	ϣⲁϩⲛⲕⲱϩⲧ
ϣⲁϩⲛⲥⲁⲧⲉ	N	ϣⲁϩⲛⲥⲁⲧⲉ
ϣⲁϩⲟⲩⲛ	ADV	ϣⲁϩⲟⲩⲛ
ϣⲁϩⲟⲩⲛ	CPLXP	ϣⲁϩⲟⲩⲛ
ϣⲁϩⲟⲩⲛ	PREP	ϣⲁϩⲟⲩⲛ
ϣⲁϩⲣⲁⲓⲉⲡⲟⲟⲩⲛϩⲟⲟⲩ	ADV	ϣⲁϩⲣⲁⲓⲉⲡⲟⲟⲩⲛϩⲟⲟⲩ
ϣⲁϩⲣⲁⲓ	ADV	ϣⲁϩⲣⲁⲓ
ϣⲁϩⲣⲁⲓ	CPLXP	ϣⲁϩⲣⲁⲓ
ϣⲁϩ	N	ϣⲁϩ
ϣⲁϩ	V	ϣⲁϩ
ϣⲁϫⲉ	N	ϣⲁϫⲉ
ϣⲁϫⲉ	V	ϣⲁϫⲉ
ϣⲁϫⲱⲥ	CPLXP	ϣⲁϫⲱⲥ
ϣⲁⲁϥ	N	ϣⲁⲁϥ
ϣⲁⲁⲛⲧ	N	ϣⲁ
ϣⲁⲁⲡⲁ	CPLXP	ϣⲁⲁⲡⲁ
ϣⲁⲁⲣⲏϫⲥ	CPLXP	ϣⲁⲁⲣⲏϫⲥ
ϣⲁⲁⲣⲏϫⲥ	CPLXV	ϣⲁⲁⲣⲏϫⲥ
ϣⲁⲁⲣ	N	ϣⲁⲁⲣ
ϣⲁⲁⲧⲥ	CPLXV	ϣⲁⲁⲧⲥ
ϣⲁⲁⲧ	V	ϣⲓⲧⲉ
ϣⲁⲁⲧ	VSTAT	ϣⲓⲧⲉ
ϣⲁⲁⲩϩⲱϭⲃ	CPLXAUXP	ϣⲁⲁⲩϩⲱϭⲃ
ϣⲁⲁ	V	ϣⲁⲁ
ϣⲁⲃⲟⲗ	ADV	ϣⲁⲃⲟⲗ
ϣⲁⲉϩⲣⲁⲓ	ADV	ϣⲁⲉϩⲣⲁⲓ
ϣⲁⲉⲓ	N	ϣⲁⲉⲓ
ϣⲁⲉⲛⲉϩ	ADV	ϣⲁⲉⲛⲉϩ
ϣⲁⲉⲛⲉϩ	CPLXP	ϣⲁⲉⲛⲉϩ
ϣⲁⲓⲣⲉ	N	ϣⲁⲓⲣⲉ
ϣⲁⲓ	N	ϣⲁⲓ
ϣⲁⲕϫⲟϥ	CPLXAUXP	ϣⲁⲕϫⲟϥ
ϣⲁⲕⲉⲟⲩⲁ	CPLXP	ϣⲁⲕⲉⲟⲩⲁ
ϣⲁⲕⲣϩⲟⲧⲉ	CPLXAUXP	ϣⲁⲕⲣϩⲟⲧⲉ
ϣⲁⲕⲧ	V	ϣⲁⲕⲧ
ϣⲁⲗⲛⲃⲏⲧ	N	ϣⲁⲗⲛⲃⲏⲧ
ϣⲁⲗ	N	ϣⲁⲗ
ϣⲁⲙⲉϣⲉ	CPLXP	ϣⲁⲙⲉϣⲉ
ϣⲁⲛϩⲏⲧ	N	ϣⲁⲛϩⲏⲧ
ϣⲁⲛϭⲱⲛⲧ	CPLXAUXP	ϣⲁⲛϭⲱⲛⲧ
ϣⲁⲛϯⲧⲟⲩⲛⲟⲥⲕ	CPLXAUXP	ϣⲁⲛϯⲧⲟⲩⲛⲟⲥⲕ
ϣⲁⲛⲁϩⲧⲏϥ	N	ϣⲁⲛⲁϩⲧⲏϥ
ϣⲁⲛⲁⲓⲱⲛ	CPLXP	ϣⲁⲛⲁⲓⲱⲛ
ϣⲁⲛⲅⲉⲛⲉⲁ	CPLXP	ϣⲁⲛⲅⲉⲛⲉⲁ
ϣⲁⲛⲉⲕⲣⲱⲙⲉ	CPLXP	ϣⲁⲛⲉⲕⲣⲱⲙⲉ
ϣⲁⲛⲉⲣⲣⲱⲟⲩ	CPLXP	ϣⲁⲛⲉⲣⲣⲱⲟⲩ
ϣⲁⲛⲉⲧϣⲟⲟⲡ	CPLXAUXPCONV	ϣⲁⲛⲉⲧϣⲟⲟⲡ
ϣⲁⲛⲉⲧⲙⲙⲁⲩ	CPLXPCONV	ϣⲁⲛⲉⲧⲙⲙⲁⲩ
ϣⲁⲛⲓⲉⲛⲉϩ	CPLXP	ϣⲁⲛⲓⲉⲛⲉϩ
ϣⲁⲛⲕⲗⲗⲉ	CPLXP	ϣⲁⲛⲕⲗⲗⲉ
ϣⲁⲛⲧϥϯϣⲡⲧⲱⲣⲉ	CPLXAUXP	ϣⲁⲛⲧϥϯϣⲡⲧⲱⲣⲉ
ϣⲁⲛⲧϥⲉⲓ	CPLXAUXP	ϣⲁⲛⲧϥⲉⲓ
ϣⲁⲛⲧϥⲕⲱ	CPLXAUXP	ϣⲁⲛⲧϥⲕⲱ
