#ϣⲁⲉⲛⲉϩ	ADV	ϣⲁⲉⲛⲉϩ
#ϯⲧⲟⲟⲧ	V	ϯⲧⲟⲟⲧ
#ϯⲧⲟⲟⲧⲟⲩ	V	ϯⲧⲟⲟⲧ
#ⲕⲁⲁⲧ	VSTAT	ⲕⲁⲁⲧ
#ⲕⲉⲟⲩⲁ	N	ⲕⲉⲟⲩⲁ
#ⲙⲁⲙⲡⲱⲧ	N	ⲙⲁⲙⲡⲱⲧ
#ⲙⲁⲛϣⲉⲗⲉⲉⲧ	N	ⲙⲁⲛϣⲉⲗⲉⲉⲧ
#ⲙⲁⲛϣⲓⲛⲉ	N	ⲙⲁⲛϣⲓⲛⲉ
#ⲙⲁⲛϣⲱⲡⲉ	N	ⲙⲁⲛϣⲱⲡⲉ
#ⲙⲁⲛϩⲁⲣⲉϩ	N	ⲙⲁⲛϩⲁⲣⲉϩ
#ⲙⲁⲛϩⲱⲧⲡ	N	ⲙⲁⲛϩⲱⲧⲡ
#ⲙⲁⲛϫⲁⲓⲉ	N	ⲙⲁⲛϫⲁⲓⲉ
#ⲙⲁⲛⲉⲗⲟⲟⲗⲉ	N	ⲙⲁⲛⲉⲗⲟⲟⲗⲉ
#ⲙⲁⲛⲕⲟⲧⲕ	N	ⲙⲁⲛⲕⲟⲧⲕ
#ⲙⲁⲛⲙⲧⲟⲛ	N	ⲙⲁⲛⲙⲧⲟⲛ
#ⲙⲁⲛⲛⲁ	N	ⲙⲁⲛⲛⲁ
#ⲙⲁⲛⲛⲉⲓⲇⲱⲗⲟⲛ	N	ⲙⲁⲛⲛⲉⲓⲇⲱⲗⲟⲛ
#ⲙⲁⲛⲟⲩⲱϩ	N	ⲙⲁⲛⲟⲩⲱϩ
#ⲙⲁⲛⲟⲩⲱⲙ	N	ⲙⲁⲛⲟⲩⲱⲙ
#ⲣϩⲛⲁ	V	ⲣϩⲛⲁ
#ⲣϩⲛⲏ	V	ⲣϩⲛⲏ
&gt;	PUNCT	&gt;
&lt;	PUNCT	&lt;
,	PUNCT	,
-	N	-
-	PUNCT	-
--	N	--
--	PUNCT	--
--	UNKNOWN	UNKNOWN
----	UNKNOWN	UNKNOWN
.	PUNCT	.
.	UNKNOWN	UNKNOWN
..	UNKNOWN	UNKNOWN
...	UNKNOWN	UNKNOWN
....	UNKNOWN	UNKNOWN
.....	UNKNOWN	UNKNOWN
......	UNKNOWN	UNKNOWN
.......	UNKNOWN	UNKNOWN
........	UNKNOWN	UNKNOWN
.........	UNKNOWN	UNKNOWN
..........	UNKNOWN	UNKNOWN
............	UNKNOWN	UNKNOWN
.............	UNKNOWN	UNKNOWN
..............	UNKNOWN	UNKNOWN
.....ⲟ...	UNKNOWN	UNKNOWN
:	PUNCT	:
?	PUNCT	?
[	PUNCT	[
[	UNKNOWN	UNKNOWN
[..........]	UNKNOWN	UNKNOWN
[.........]	UNKNOWN	UNKNOWN
[........]	UNKNOWN	UNKNOWN
[.......]	UNKNOWN	UNKNOWN
[.....]	N	[.....]
[.....]	UNKNOWN	UNKNOWN
[.....]ⲡⲣ[..][....]ⲥ	UNKNOWN	UNKNOWN
[.....]ⲩⲟ	UNKNOWN	UNKNOWN
[....]	UNKNOWN	UNKNOWN
[....]ϫⲉ	UNKNOWN	UNKNOWN
[....]ⲥ	UNKNOWN	UNKNOWN
[....]ⲥⲧⲁ	UNKNOWN	UNKNOWN
[...]	UNKNOWN	UNKNOWN
[...]ϥ̣	UNKNOWN	UNKNOWN
[...]ⲛ	UNKNOWN	UNKNOWN
[...]ⲟⲧⲡ	UNKNOWN	UNKNOWN
[...]ⲩ	UNKNOWN	UNKNOWN
[..]	UNKNOWN	UNKNOWN
[..]ⲁⲩ	UNKNOWN	UNKNOWN
[..]ⲙⲉ	V	[..]ⲙⲉ
[..]ⲥⲃⲱ	UNKNOWN	UNKNOWN
[.]	UNKNOWN	UNKNOWN
[.]ⲉ	UNKNOWN	UNKNOWN
[.]ⲙ	UNKNOWN	UNKNOWN
[.]ⲛ	UNKNOWN	UNKNOWN
[…..]	UNKNOWN	UNKNOWN
[…..]ⲉⲁ	UNKNOWN	UNKNOWN
[….]	UNKNOWN	UNKNOWN
[…]	UNKNOWN	UNKNOWN
[…….]	UNKNOWN	UNKNOWN
[ⲉⲃⲟ]ⲗ	ADV	ⲉⲃⲟⲗ
[ⲛ]ⲟⲏⲧⲟⲛ	N	[ⲛ]ⲟⲏⲧⲟⲛ
]	PUNCT	]
cⲟⲛ	N	cⲟⲛ
·	PUNCT	·
·	UNKNOWN	UNKNOWN
·ⲻ	PUNCT	·ⲻ
̣ⲙⲛⲧⲣⲉⲙⲡ	UNKNOWN	UNKNOWN
·	PUNCT	·
Φαμενωθ	FM	Φαμενωθ
β	FM	β
γ	FM	γ
θἰνδικτίονος	FM	θἰνδικτίονος
ο	FM	ο
υἱός	FM	υἱός
ϣ	UNKNOWN	UNKNOWN
ϣ	V	ϣ
ϣoⲙⲛⲧ	NUM	ϣoⲙⲛⲧ
ϣϣⲉ	N	ϣϣⲉ
ϣϣⲉ	V	ϣϣⲉ
ϣϥ	V	ϣϥ
ϣϥⲉ	N	ϣϥⲉ
ϣϥⲉ	NUM	ϣϥⲉ
ϣϩⲓϭ	N	ϣϩⲓϭ
ϣϫⲁϩⲙ	V	ϣϫⲁϩⲙ
ϣϫⲁⲗ	N	ϣϫⲁⲗ
ϣϫⲉ	N	ϣϫⲉ
ϣϫⲏⲛ	N	ϣϫⲏⲛ
ϣϫⲏⲩ	N	ϣϫⲉ
ϣϫⲓⲗ	N	ϣϫⲓⲗ
ϣϫⲓⲧ	N	ϣϫⲓⲧ
ϣϫⲥⲟϭ	N	ϣϫⲥⲟϭ
ϣϫⲥⲱⲃⲉ	N	ϣϫⲥⲱⲃⲉ
ϣϫⲱⲧ	N	ϣϫⲱⲧ
ϣϭⲁ	V	ϣⲱⲱϭⲉ
ϣϭⲁϭⲓⲇ	V	ϣϭⲁϭⲓⲇ
ϣϭⲁⲡ	N	ϣϭⲁⲡ
ϣϭⲓⲛ	N	ϣϭⲓⲛ
ϣϭⲓⲣ	N	ϣϭⲓⲣ
ϣϭⲗϭⲓⲗ	N	ϣⲕⲉⲗⲕⲓⲗ
ϣϭⲙϭⲟⲙ	N	ϣϭⲙϭⲟⲙ
ϣϭⲙϭⲟⲙ	V	ϣϭⲙϭⲟⲙ
ϣϭⲛⲏⲛ	N	ϣϭⲛⲏⲛ
ϣϭⲟⲙ	N	ϭⲟⲙ
ϣϭⲟⲙ	V	ϭⲟⲙ
ϣϭⲟⲣ	N	ϣϭⲟⲣ
ϣⲁ	AAOR	ϣⲁⲣⲉ
ϣⲁ	N	ϣⲁ
ϣⲁ	PREP	ϣⲁ
ϣⲁ	UNKNOWN	UNKNOWN
ϣⲁ	V	ϣⲁ
ϣⲁϣ	N	ϣⲁϣ
ϣⲁϣⲉ	N	ϣⲁϣⲉ
ϣⲁϥⲉ	V	ϣⲁϥⲉ
ϣⲁϥⲟⲩⲣ	N	ϣⲁϥⲟⲩⲣ
ϣⲁϥⲧⲉ	NUM	ϣⲁϥⲧⲉ
ϣⲁϩ	N	ϣⲁϩ
ϣⲁϩ	V	ϣⲁϩ
ϣⲁϩⲏⲣⲉ	N	ϣⲁϩⲏⲣⲉ
ϣⲁϩⲙ	N	ϣⲁϩⲙ
ϣⲁϩⲛⲕⲱϩⲧ	N	ϣⲁϩⲛⲕⲱϩⲧ
ϣⲁϩⲛⲥⲁⲧⲉ	N	ϣⲁϩⲛⲥⲁⲧⲉ
ϣⲁϩⲟⲩⲛ	ADV	ϣⲁϩⲟⲩⲛ
ϣⲁϩⲣⲁⲓ	ADV	ϣⲁϩⲣⲁⲓ
